claim_id,pathway_stage,current_status,evidence_class,accepted_or_rejected,required_evidence,blocked_evidence_classes,artifact_pointers,conclusion
P3-C1,campaign conclusion,downgrade_preserved,current committed artifacts,rejected_as_reopen_evidence,valid_package ∧ hash_match ∧ schema_compatible ∧ known_threshold_scenario ∧ valid_trace ∧ admissible_ingestion_path ∧ measured_terms ∧ production_or_shadow_or_canary_source ∧ provenance_attestation ∧ privacy_attestation ∧ threshold_crossed,synthetic (eligible source and ingestion path gates); proxy/local (measured_terms gate); vendor-only (counterfactual workload and admissible ingestion gates); privacy-risk (privacy/schema gate); stale-hash (valid_package and hash_match gates); unknown-threshold (known_threshold_scenario gate); non-crossing measured packages (threshold_crossed gate),physicalized-weights/data/phase3_reopen_summary.json; physicalized-weights/docs/phase3_reopen_pathway_summary.md,No current artifact reopens the Phase 2 downgrade or makes safety/filter physicalization a current performance/economic winner.
P3-C2,measurement contract,production_required,local proxy measurements,accepted_as_overhead_proxy_only,measured production accelerator and hybrid latency/energy/utilization under identical workload accounting,proxy/local,physicalized-weights/data/local_overhead_summary.json; physicalized-weights/data/measurement_gap_matrix.csv,M-MEASURE-1 decomposes overheads but cannot reopen the downgraded claim.
P3-C3,trace validation,schema_guarded,production traces,accepted_only_if_valid_reopen_candidate,"privacy-safe trace with required baselines, measured energy, accepted fast-path credit, and production/shadow/canary environment",privacy-risk; proxy energy; missing baseline; inconsistent policy,physicalized-weights/data/production_trace_schema.json; physicalized-weights/data/production_trace_validation_summary.json,M-TRACE-1 makes schema validity necessary but not sufficient for reopening.
P3-C4,quantitative threshold,not_crossed_by_current_artifacts,threshold rows,accepted_only_if_measured_margin_positive,measured_hybrid_total < measured_best_programmable_baseline under identical accounting,zero-volume; all-fallback; unknown-threshold; non-crossing measured packages,physicalized-weights/data/reopen_thresholds_summary.json; physicalized-weights/data/reopen_thresholds.csv,M-REOPEN-1 provides finite thresholds for eight scenarios and unreopenable controls for zero-volume/all-fallback cases.
P3-C5,ingestion admissibility,admissibility_guarded,evidence acquisition paths,accepted_only_for_dual_measured_production_paths,"privacy-safe dual-run production, shadow, or canary path with measured hybrid and programmable baseline terms",synthetic; vendor-only; sampled logs without baselines; privacy-risk,physicalized-weights/data/trace_ingestion_path_scores.csv; physicalized-weights/data/trace_ingestion_path_summary.json,M-INGEST-1 identifies only shadow production dual-run and canary A/B dual-instrumented paths as future candidate paths.
P3-C6,end-to-end gate,zero_actual_reopen_candidates,trace-like artifacts,rejected_unless_all_conjuncts_hold,"valid trace, reopen-candidate ingestion path, measured terms, eligible source, provenance attestation, and threshold crossing",synthetic; proxy/local; privacy-risk; non-crossing measured packages,physicalized-weights/data/reopen_pipeline_summary.json; physicalized-weights/data/reopen_pipeline_results.csv,M-PIPELINE-1 keeps synthetic numeric threshold crossing from becoming actual reopen evidence.
P3-C7,evidence-pack replay,zero_actual_reopen_candidates,manifested evidence packs,rejected_unless_package_and_downstream_gates_pass,valid_package ∧ hash_match ∧ schema_compatible ∧ known_threshold_scenario ∧ valid_trace ∧ admissible_ingestion_path ∧ measured_terms ∧ production_or_shadow_or_canary_source ∧ provenance_attestation ∧ privacy_attestation ∧ threshold_crossed,stale-hash; missing attestation; unknown-threshold; synthetic; proxy/local; non-crossing measured packages,physicalized-weights/data/evidence_pack_replay_summary.json; physicalized-weights/data/evidence_pack_replay_results.csv,M-EVIDENCEPACK-1 rejects malformed packages before threshold evaluation and preserves zero current actual reopen candidates.
P3-BLOCK-SYNTHETIC,blocked evidence class,blocked,synthetic,rejected_as_current_reopen_evidence,valid_package ∧ hash_match ∧ schema_compatible ∧ known_threshold_scenario ∧ valid_trace ∧ admissible_ingestion_path ∧ measured_terms ∧ production_or_shadow_or_canary_source ∧ provenance_attestation ∧ privacy_attestation ∧ threshold_crossed,eligible source and ingestion path gates,physicalized-weights/data/evidence_pack_synthetic_counterfactual_manifest.json,synthetic evidence remains blocked: synthetic_counterfactual_crossed.
P3-BLOCK-PROXY-LOCAL,blocked evidence class,blocked,proxy/local,rejected_as_current_reopen_evidence,valid_package ∧ hash_match ∧ schema_compatible ∧ known_threshold_scenario ∧ valid_trace ∧ admissible_ingestion_path ∧ measured_terms ∧ production_or_shadow_or_canary_source ∧ provenance_attestation ∧ privacy_attestation ∧ threshold_crossed,measured_terms gate,physicalized-weights/data/evidence_pack_valid_synthetic_manifest.json,proxy/local evidence remains blocked: valid_but_insufficient.
P3-BLOCK-VENDOR-ONLY,blocked evidence class,blocked,vendor-only,rejected_as_current_reopen_evidence,valid_package ∧ hash_match ∧ schema_compatible ∧ known_threshold_scenario ∧ valid_trace ∧ admissible_ingestion_path ∧ measured_terms ∧ production_or_shadow_or_canary_source ∧ provenance_attestation ∧ privacy_attestation ∧ threshold_crossed,counterfactual workload and admissible ingestion gates,physicalized-weights/data/trace_ingestion_path_scores.csv,vendor-only evidence remains blocked: valid_but_insufficient.
P3-BLOCK-PRIVACY-RISK,blocked evidence class,blocked,privacy-risk,rejected_as_current_reopen_evidence,valid_package ∧ hash_match ∧ schema_compatible ∧ known_threshold_scenario ∧ valid_trace ∧ admissible_ingestion_path ∧ measured_terms ∧ production_or_shadow_or_canary_source ∧ provenance_attestation ∧ privacy_attestation ∧ threshold_crossed,privacy/schema gate,physicalized-weights/data/pipeline_trace_invalid_privacy.csv,privacy-risk evidence remains blocked: invalid_trace.
P3-BLOCK-STALE-HASH,blocked evidence class,blocked,stale-hash,rejected_as_current_reopen_evidence,valid_package ∧ hash_match ∧ schema_compatible ∧ known_threshold_scenario ∧ valid_trace ∧ admissible_ingestion_path ∧ measured_terms ∧ production_or_shadow_or_canary_source ∧ provenance_attestation ∧ privacy_attestation ∧ threshold_crossed,valid_package and hash_match gates,physicalized-weights/data/evidence_pack_bad_hash_manifest.json,stale-hash evidence remains blocked: package_invalid.
P3-BLOCK-UNKNOWN-THRESHOLD,blocked evidence class,blocked,unknown-threshold,rejected_as_current_reopen_evidence,valid_package ∧ hash_match ∧ schema_compatible ∧ known_threshold_scenario ∧ valid_trace ∧ admissible_ingestion_path ∧ measured_terms ∧ production_or_shadow_or_canary_source ∧ provenance_attestation ∧ privacy_attestation ∧ threshold_crossed,known_threshold_scenario gate,physicalized-weights/scripts/evidence_pack_replay.py,unknown-threshold evidence remains blocked: package_invalid before downstream evaluation.
P3-BLOCK-NON-CROSSING-MEASURED-PACKAGES,blocked evidence class,blocked,non-crossing measured packages,rejected_as_current_reopen_evidence,valid_package ∧ hash_match ∧ schema_compatible ∧ known_threshold_scenario ∧ valid_trace ∧ admissible_ingestion_path ∧ measured_terms ∧ production_or_shadow_or_canary_source ∧ provenance_attestation ∧ privacy_attestation ∧ threshold_crossed,threshold_crossed gate,physicalized-weights/data/evidence_pack_shadow_non_crossing_manifest.json,non-crossing measured packages evidence remains blocked: threshold_evaluable_not_crossed.
