edge_type	raw_scientific_name	canonical_node_id	node_roles_json	source_id	source_name	source_version_or_release	access_date	license	attribution	confidence	source_reliability	allowed_evidence_scope	caveats_json	temporal_annotation
vavilov_center_hyperedge	Triticum aestivum	cultivar:Triticum_aestivum	"{""crop_taxon"": ""cultivar:Triticum_aestivum"", ""vavilov_center"": ""vc:near_eastern"", ""region"": ""Levant, Anatolia, Iran"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Marcussen T. et al. 2014, Science 345:1250092 \u2014 Ancient hybridizations among the ancestral genomes of bread wheat""}"	
vavilov_center_hyperedge	Triticum turgidum subsp. durum	cultivar:Triticum_turgidum_subsp._durum	"{""crop_taxon"": ""cultivar:Triticum_turgidum_subsp._durum"", ""vavilov_center"": ""vc:near_eastern"", ""region"": ""Levant, Anatolia, Iran"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Salamini F. et al. 2002, Nat. Rev. Genet. 3:429-441""}"	
vavilov_center_hyperedge	Malus domestica	cultivar:Malus_domestica	"{""crop_taxon"": ""cultivar:Malus_domestica"", ""vavilov_center"": ""vc:central_asian"", ""region"": ""Central Asia (Hindu Kush, Pamir, Tien Shan)"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Cornille A. et al. 2014, Trends in Genet. 30(2):57-65 \u2014 The domestication and evolutionary ecology of apples""}"	
vavilov_center_hyperedge	Musa x paradisiaca / Musa acuminata cultivar group	cultivar:Musa_x_paradisiaca___Musa_acuminata_cultivar_group	"{""crop_taxon"": ""cultivar:Musa_x_paradisiaca___Musa_acuminata_cultivar_group"", ""vavilov_center"": ""vc:indo_malay"", ""region"": ""SE Asia, Malay Archipelago, New Guinea"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""D'Hont A. et al. 2012, Nature 488:213-217 \u2014 The banana (Musa acuminata) genome""}"	
vavilov_center_hyperedge	Brassica napus	cultivar:Brassica_napus	"{""crop_taxon"": ""cultivar:Brassica_napus"", ""vavilov_center"": ""vc:mediterranean"", ""region"": ""Mediterranean basin"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Chalhoub B. et al. 2014, Science 345:950-953 \u2014 Early allopolyploid evolution in the post-Neolithic Brassica napus oilseed genome""}"	
vavilov_center_hyperedge	Brassica juncea	cultivar:Brassica_juncea	"{""crop_taxon"": ""cultivar:Brassica_juncea"", ""vavilov_center"": ""vc:central_asian"", ""region"": ""Central Asia (Hindu Kush, Pamir, Tien Shan)"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""U N. 1935, Jap. J. Bot. 7:389-452 \u2014 Brassica triangle of U""}"	
vavilov_center_hyperedge	Brassica carinata	cultivar:Brassica_carinata	"{""crop_taxon"": ""cultivar:Brassica_carinata"", ""vavilov_center"": ""vc:abyssinian"", ""region"": ""Horn of Africa (Ethiopia, Eritrea)"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""U N. 1935, Jap. J. Bot. 7:389-452""}"	
vavilov_center_hyperedge	Gossypium hirsutum	cultivar:Gossypium_hirsutum	"{""crop_taxon"": ""cultivar:Gossypium_hirsutum"", ""vavilov_center"": ""vc:south_mexican"", ""region"": ""Mexico, Mesoamerica"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Wendel J.F. & Cronn R.C. 2003, Adv. Agron. 78:139-186 \u2014 Polyploidy and the evolutionary history of cotton""}"	
vavilov_center_hyperedge	Gossypium barbadense	cultivar:Gossypium_barbadense	"{""crop_taxon"": ""cultivar:Gossypium_barbadense"", ""vavilov_center"": ""vc:south_american"", ""region"": ""Andes, Amazonia, southern cone"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Wendel J.F. & Cronn R.C. 2003, Adv. Agron. 78:139-186""}"	
vavilov_center_hyperedge	Arachis hypogaea	cultivar:Arachis_hypogaea	"{""crop_taxon"": ""cultivar:Arachis_hypogaea"", ""vavilov_center"": ""vc:south_american"", ""region"": ""Andes, Amazonia, southern cone"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Bertioli D.J. et al. 2016, Nat. Genet. 48:438-446 \u2014 The genome sequences of Arachis duranensis and Arachis ipaensis""}"	
vavilov_center_hyperedge	Coffea arabica	cultivar:Coffea_arabica	"{""crop_taxon"": ""cultivar:Coffea_arabica"", ""vavilov_center"": ""vc:abyssinian"", ""region"": ""Horn of Africa (Ethiopia, Eritrea)"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Lashermes P. et al. 1999, Mol. Gen. Genet. 261:259-266 \u2014 Molecular characterisation and origin of the Coffea arabica L. genome""}"	
vavilov_center_hyperedge	Nicotiana tabacum	cultivar:Nicotiana_tabacum	"{""crop_taxon"": ""cultivar:Nicotiana_tabacum"", ""vavilov_center"": ""vc:south_american"", ""region"": ""Andes, Amazonia, southern cone"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Ren N. & Timko M.P. 2001, Genome 44:559-571""}"	
vavilov_center_hyperedge	Fragaria x ananassa	cultivar:Fragaria_x_ananassa	"{""crop_taxon"": ""cultivar:Fragaria_x_ananassa"", ""vavilov_center"": ""vc:south_american"", ""region"": ""Andes, Amazonia, southern cone"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Edger P.P. et al. 2019, Nat. Genet. 51:541-547 \u2014 Origin and evolution of the octoploid strawberry genome""}"	
vavilov_center_hyperedge	Manihot esculenta	cultivar:Manihot_esculenta	"{""crop_taxon"": ""cultivar:Manihot_esculenta"", ""vavilov_center"": ""vc:south_american"", ""region"": ""Andes, Amazonia, southern cone"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Olsen K.M. & Schaal B.A. 1999, PNAS 96:5586-5591 \u2014 Evidence on the origin of cassava""}"	
vavilov_center_hyperedge	Solanum tuberosum	cultivar:Solanum_tuberosum	"{""crop_taxon"": ""cultivar:Solanum_tuberosum"", ""vavilov_center"": ""vc:south_american"", ""region"": ""Andes, Amazonia, southern cone"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Spooner D.M. et al. 2005, PNAS 102:14694-14699 \u2014 A single domestication for potato based on multilocus AFLP genotyping""}"	
vavilov_center_hyperedge	Solanum lycopersicum	cultivar:Solanum_lycopersicum	"{""crop_taxon"": ""cultivar:Solanum_lycopersicum"", ""vavilov_center"": ""vc:south_american"", ""region"": ""Andes, Amazonia, southern cone"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Razifard H. et al. 2020, Mol. Biol. Evol. 37:1118-1132 \u2014 Genomic evidence for complex domestication history of tomato""}"	
vavilov_center_hyperedge	Capsicum annuum	cultivar:Capsicum_annuum	"{""crop_taxon"": ""cultivar:Capsicum_annuum"", ""vavilov_center"": ""vc:south_mexican"", ""region"": ""Mexico, Mesoamerica"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Kraft K.H. et al. 2014, PNAS 111:6165-6170""}"	
vavilov_center_hyperedge	Glycine max	cultivar:Glycine_max	"{""crop_taxon"": ""cultivar:Glycine_max"", ""vavilov_center"": ""vc:chinese"", ""region"": ""East Asia (China, Korea, Japan)"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Carter T.E. et al. 2004, in Soybeans: Improvement, Production, and Uses ASA-CSSA-SSSA""}"	
vavilov_center_hyperedge	Phaseolus vulgaris	cultivar:Phaseolus_vulgaris	"{""crop_taxon"": ""cultivar:Phaseolus_vulgaris"", ""vavilov_center"": ""vc:south_mexican"", ""region"": ""Mexico, Mesoamerica"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Bitocchi E. et al. 2013, New Phytol. 197:300-313 \u2014 Mesoamerican origin of the common bean""}"	
vavilov_center_hyperedge	Cicer arietinum	cultivar:Cicer_arietinum	"{""crop_taxon"": ""cultivar:Cicer_arietinum"", ""vavilov_center"": ""vc:near_eastern"", ""region"": ""Levant, Anatolia, Iran"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Varshney R.K. et al. 2013, Nat. Biotechnol. 31:240-246; Singh K.B. 1997 Field Crops Res. 53:161-170""}"	
vavilov_center_hyperedge	Lens culinaris	cultivar:Lens_culinaris	"{""crop_taxon"": ""cultivar:Lens_culinaris"", ""vavilov_center"": ""vc:near_eastern"", ""region"": ""Levant, Anatolia, Iran"", ""source"": ""vincent_2013_cwr+vavilov_1926""}"	vincent_2013_cwr	Vincent et al. 2013 Global CWR Checklist	extracted 2026-05-17	2026-05-17	Article copyright Elsevier; factual taxon list extracted	Vincent H. et al. 2013, Biological Conservation 167:265-275	0.7	0.93	supports 'this source asserts X is a Vavilov center for crop Y'; does NOT support uncontested center status	"{""contested"": true, ""framework"": ""Vavilov 1926 + Harlan 1971 extensions"", ""primary_citation"": ""Ladizinsky G. 1979, Euphytica 28:179-187""}"	
